feature,importance
symbol_MAOB,0.0
symbol_MAOA,0.0
symbol_LRP1,0.0
symbol_LGMN,0.0
symbol_LILRB5,0.0
symbol_LIPA,0.0
symbol_LIPC,0.0
symbol_LITAF,0.0
symbol_LIX1L,0.0
symbol_LMAN2,0.0
symbol_LOC102724560,0.0
symbol_LOXL4,0.0
symbol_LPA,0.0
symbol_LPL,0.0
symbol_LPP,0.0
symbol_LRP5,0.0
symbol_MANF,0.0
symbol_LRRC4,0.0
symbol_LRRFIP1,0.0
symbol_LTAP1,0.0
symbol_LTB,0.0
symbol_LTBP3,0.0
symbol_LUC7L3,0.0
symbol_LUM,0.0
symbol_LYVE1,0.0
symbol_LYZ,0.0
symbol_MAF,0.0
symbol_MAN1A2,0.0
symbol_MAN2B2,0.0
symbol_MRC1,0.0
symbol_MRPL51,0.0
symbol_PABPN1,0.0
symbol_MS4A6A,0.0
symbol_NEMF,0.0
symbol_RPL26,0.0
symbol_NFE2L1,0.0
symbol_NFIC,0.0
symbol_NFIX,0.0
symbol_NIBAN2,0.0
symbol_NID1,0.0
symbol_NKAP,0.0
symbol_NKTR,0.0
symbol_NONO,0.0
symbol_NOP58,0.0
symbol_NPHP3,0.0
symbol_NPR1,0.0
symbol_NRP2,0.0
symbol_NSDHL,0.0
symbol_NSRP1,0.0
symbol_NTHL1,0.0
symbol_NTN4,0.0
symbol_NUCB2,0.0
symbol_OCIAD2,0.0
symbol_OGDHL,0.0
symbol_OIT3,0.0
symbol_OLFM2,0.0
symbol_ONECUT2,0.0
symbol_P2RY13,0.0
symbol_P4HA1,0.0
symbol_P4HB,0.0
symbol_NDUFB9,0.0
symbol_NDUFB8,0.0
symbol_NDUFA11,0.0
symbol_MYH9,0.0
symbol_MS4A7,0.0
symbol_MSMO1,0.0
symbol_MT1X,0.0
symbol_MTCH2,0.0
symbol_MTDH,0.0
symbol_MTHFD1,0.0
symbol_MTMR4,0.0
symbol_MTTP,0.0
symbol_MVD,0.0
symbol_MVP,0.0
symbol_MYH1,0.0
symbol_MYH2,0.0
symbol_MYL12B,0.0
symbol_NDST3,0.0
symbol_MYL6,0.0
symbol_MYLK,0.0
symbol_MYO15B,0.0
symbol_MYO18A,0.0
symbol_MYO1B,0.0
symbol_MYO6,0.0
symbol_N4BP2L2,0.0
symbol_NACA,0.0
symbol_NCOA3,0.0
symbol_NCOR2,0.0
symbol_NDRG2,0.0
symbol_NDST1,0.0
symbol_RPL24,0.0
symbol_RPS2,0.0
symbol_RPL27A,0.0
symbol_TLN1,0.0
symbol_TM7SF2,0.0
symbol_TMED9,0.0
symbol_TMEM141,0.0
symbol_TMEM154,0.0
symbol_TMEM19,0.0
symbol_TMEM205,0.0
symbol_TMEM248,0.0
symbol_TMEM256,0.0
symbol_TMEM45B,0.0
symbol_TMEM59,0.0
symbol_TMEM92,0.0
symbol_TMSB10,0.0
symbol_TNFAIP8L1,0.0
symbol_TNFRSF12A,0.0
symbol_TNFSF14,0.0
symbol_TNS1,0.0
symbol_TNS2,0.0
symbol_TOMM7,0.0
symbol_TOP1,0.0
symbol_TOP2A,0.0
symbol_TP53I3,0.0
symbol_TPI1,0.0
symbol_TPP1,0.0
symbol_TRAP1,0.0
symbol_TREM2,0.0
symbol_TRIM56,0.0
symbol_TSC22D1,0.0
symbol_TM4SF4,0.0
symbol_TINAGL1,0.0
symbol_TSPAN13,0.0
symbol_TIMP2,0.0
symbol_SSR4,0.0
symbol_ST13,0.0
symbol_ST14,0.0
symbol_ST3GAL1,0.0
symbol_ST6GAL1,0.0
symbol_STAB1,0.0
symbol_STAB2,0.0
symbol_STMN2,0.0
symbol_STOM,0.0
symbol_STT3A,0.0
symbol_STX16,0.0
symbol_SULT2A1,0.0
symbol_SURF4,0.0
symbol_TAGLN2,0.0
symbol_TAT,0.0
symbol_TBC1D9B,0.0
symbol_TDG,0.0
symbol_TEDC1,0.0
symbol_TEK,0.0
symbol_TENM1,0.0
symbol_TFR2,0.0
symbol_TGFBR2,0.0
symbol_THOC2,0.0
symbol_THRAP3,0.0
symbol_THRSP,0.0
symbol_THY1,0.0
symbol_TIMM17A,0.0
symbol_TSHZ2,0.0
symbol_TSPAN18,0.0
symbol_SRP9,0.0
symbol_UQCRQ,0.0
symbol_USF2,0.0
symbol_USP16,0.0
symbol_USP8,0.0
symbol_USP9X,0.0
symbol_UTRN,0.0
symbol_VAMP8,0.0
symbol_VAV1,0.0
symbol_VCAM1,0.0
symbol_VNN1,0.0
symbol_VSIG4,0.0
symbol_VTN,0.0
symbol_WBP4,0.0
symbol_XAF1,0.0
symbol_XBP1,0.0
symbol_XIAP,0.0
symbol_XRCC5,0.0
symbol_YAF2,0.0
symbol_YIPF4,0.0
symbol_YWHAB,0.0
symbol_YWHAE,0.0
symbol_ZBED3,0.0
symbol_ZC3H13,0.0
symbol_ZC3H15,0.0
symbol_ZCRB1,0.0
symbol_ZMAT3,0.0
symbol_ZNF281,0.0
symbol_ZNF292,0.0
symbol_UROC1,0.0
symbol_UQCRFS1,0.0
symbol_TST,0.0
symbol_UQCRB,0.0
symbol_TTC9,0.0
symbol_TTF1,0.0
symbol_TTR,0.0
symbol_TUBB,0.0
symbol_TUBB4B,0.0
symbol_TUT7,0.0
symbol_TXN,0.0
symbol_TXNDC5,0.0
symbol_TYMP,0.0
symbol_U2SURP,0.0
symbol_UBA52,0.0
symbol_UBB,0.0
symbol_UBC,0.0
symbol_UBE3A,0.0
symbol_UBL5,0.0
symbol_UBR4,0.0
symbol_UBXN4,0.0
symbol_UGT1A4,0.0
symbol_UGT2A1,0.0
symbol_UGT2B10,0.0
symbol_UGT2B15,0.0
symbol_UGT2B4,0.0
symbol_UGT2B7,0.0
symbol_UPF3A,0.0
symbol_UPF3B,0.0
symbol_UPP2,0.0
symbol_UQCR11,0.0
symbol_SRSF11,0.0
symbol_SREK1IP1,0.0
symbol_RPL29,0.0
symbol_RPS27L,0.0
symbol_RPS4X,0.0
symbol_RPS6,0.0
symbol_RPS7,0.0
symbol_RPS8,0.0
symbol_RSBN1L,0.0
symbol_RSF1,0.0
symbol_RTN4,0.0
symbol_RWDD1,0.0
symbol_RXRA,0.0
symbol_S100A10,0.0
symbol_S100A14,0.0
symbol_S100A4,0.0
symbol_SAA1,0.0
symbol_SARDH,0.0
symbol_SCAPER,0.0
symbol_SCARB2,0.0
symbol_SCIMP,0.0
symbol_SCP2,0.0
symbol_SDC3,0.0
symbol_SDHA,0.0
symbol_SDHD,0.0
symbol_SDS,0.0
symbol_SEC14L1,0.0
symbol_SEC14L2,0.0
symbol_SEC61B,0.0
symbol_SEC62,0.0
symbol_SEM1,0.0
symbol_RPS3,0.0
symbol_RPS27A,0.0
symbol_SEMA6A,0.0
symbol_RPS27,0.0
symbol_RPL31,0.0
symbol_RPL32,0.0
symbol_RPL34,0.0
symbol_RPL35A,0.0
symbol_RPL36,0.0
symbol_RPL36AL,0.0
symbol_RPL37,0.0
symbol_RPL37A,0.0
symbol_RPL5,0.0
symbol_RPL6,0.0
symbol_RPL7,0.0
symbol_RPL7A,0.0
symbol_RPL8,0.0
symbol_RPL9,0.0
symbol_RPLP1,0.0
symbol_RPN2,0.0
symbol_RPS11,0.0
symbol_RPS12,0.0
symbol_RPS13,0.0
symbol_RPS14,0.0
symbol_RPS17,0.0
symbol_RPS18,0.0
symbol_RPS19,0.0
symbol_LGALS3BP,0.0
symbol_RPS20,0.0
symbol_RPS24,0.0
symbol_RPS26,0.0
symbol_SEMA4G,0.0
symbol_SEPHS2,0.0
symbol_SREK1,0.0
symbol_SLC6A1,0.0
symbol_SLC7A2,0.0
symbol_SLC7A8,0.0
symbol_SLC9A9,0.0
symbol_SLCO1A2,0.0
symbol_SLCO1B3,0.0
symbol_SLCO2B1,0.0
symbol_SLTM,0.0
symbol_SMC4,0.0
symbol_SMOC1,0.0
symbol_SNORC,0.0
symbol_SNRNP200,0.0
symbol_SON,0.0
symbol_SORBS1,0.0
symbol_SORBS2,0.0
symbol_SOX18,0.0
symbol_SOX4,0.0
symbol_SPAG9,0.0
symbol_SPCS1,0.0
symbol_SPEN,0.0
symbol_SPON2,0.0
symbol_SPP1,0.0
symbol_SPP2,0.0
symbol_SPTBN1,0.0
symbol_SPTBN2,0.0
symbol_SPTSSA,0.0
symbol_SQLE,0.0
symbol_SQSTM1,0.0
symbol_SLC6A2,0.0
symbol_SLC47A1,0.0
symbol_SERF2,0.0
symbol_SLC44A2,0.0
symbol_SERINC1,0.0
symbol_SERINC3,0.0
symbol_SERP1,0.0
symbol_SERPINA7,0.0
symbol_SERPINC1,0.0
symbol_SERPIND1,0.0
symbol_SERPINF1,0.0
symbol_SERPING1,0.0
symbol_SHANK3,0.0
symbol_SIGLEC1,0.0
symbol_SIK2,0.0
symbol_SIL1,0.0
symbol_SKI,0.0
symbol_SLC13A3,0.0
symbol_SLC13A5,0.0
symbol_SLC16A1,0.0
symbol_SLC16A11,0.0
symbol_SLC16A2,0.0
symbol_SLC16A9,0.0
symbol_SLC23A2,0.0
symbol_SLC25A10,0.0
symbol_SLC25A13,0.0
