ensembl_id,symbol,log2fc,pvalue,mean_dis,mean_hlt,padj,direction
ENSG00000000971,CFH,0.43565925760430524,0.0007660651635432072,10.587498709042904,10.1518394514386,0.004316071047113545,up
ENSG00000001167,NFYA,0.2662612971067393,0.004350060905423177,3.4437740752667194,3.17751277815998,0.0159503713181055,up
ENSG00000001460,STPG1,0.3571410179367712,0.009853739375042914,0.6771278595397066,0.31998684160293533,0.02959055928455815,up
ENSG00000001461,NIPAL3,0.6684072850659957,5.31480502485773e-06,2.613913949877333,1.9455066648113373,0.0001305543377757001,up
ENSG00000001497,LAS1L,0.6108274619311658,4.12514824143946e-06,3.9878594356543524,3.3770319737231866,0.00010988165977357898,up
ENSG00000001617,SEMA3F,0.51262826207495,0.008170841064872201,1.6611125515761838,1.1484842895012337,0.02567069537047855,up
ENSG00000001626,CFTR,0.8272709957480902,0.002649779106877588,1.8604493225824084,1.0331783268343182,0.01095704786495418,up
ENSG00000001630,CYP51A1,2.137927912741593,3.9126460312686544e-16,1.4120095789019969,-0.7259183338395958,3.7382243897694675e-13,up
ENSG00000002330,BAD,0.6406846502389909,0.002796944171923485,3.545003649522717,2.904318999283726,0.01143276909545756,up
ENSG00000002746,HECW1,0.29207779607184237,4.3568616603608384e-07,-0.616562709386396,-0.9086405054582384,2.346887528799119e-05,up
ENSG00000002822,MAD1L1,1.038470574036784,0.0019739193126936156,2.72273917533024,1.6842686012934558,0.008810562400621393,up
ENSG00000002834,LASP1,0.7405797989628873,6.950628124951126e-05,6.322973124364948,5.582393325402061,0.0007691034938670665,up
ENSG00000002919,SNX11,0.6699427027756042,0.0005927276784686936,3.307117198710796,2.637174495935192,0.003576478879422284,up
ENSG00000003056,M6PR,1.0577894850871368,1.893136879963604e-05,4.791051782993321,3.7332622979061845,0.0003030521497529039,up
ENSG00000003249,DBNDD1,1.01542199123632,1.9183396683509823e-11,1.4143991934412166,0.39897720220489663,6.828160784230467e-09,up
ENSG00000003393,ALS2,0.40109996898222366,0.00025855521315670485,4.790515978658574,4.38941600967635,0.0019605428637091827,up
ENSG00000003400,CASP10,0.5198851194653162,0.002802237413658797,3.1351413804284767,2.6152562609631604,0.011449249554388509,up
ENSG00000003402,CFLAR,0.24136371456500694,0.018334400011043094,5.306053959696183,5.064690245131176,0.047860851797593515,up
ENSG00000003436,TFPI,-0.6989560896230751,0.0007070332564426925,6.662316783218826,7.3612728728419015,0.004065497213875261,down
ENSG00000004059,ARF5,0.4443995827380345,0.0007549391862965579,4.501464130541463,4.057064547803429,0.004269286931103245,up
ENSG00000004139,SARM1,0.46408946078473634,0.0019590550718971388,2.1932939150782214,1.729204454293485,0.008765769465158679,up
ENSG00000004142,POLDIP2,0.5261072148038624,1.759168196966148e-05,6.803632295049005,6.277525080245143,0.00029057488880369865,up
ENSG00000004455,AK2,0.2802116383576516,0.0011835346056303581,6.566099245320089,6.285887606962437,0.005994615986609345,up
ENSG00000004478,FKBP4,0.47292470529077413,0.0007322242287338157,5.559901913846677,5.086977208555903,0.004172023359763012,up
ENSG00000004487,KDM1A,0.25437741311005313,0.007569526435061669,4.054085037986378,3.799707624876325,0.024221684007698658,up
ENSG00000004799,PDK4,-1.3974447206758747,0.0012654690735029164,7.15621332600403,8.553658046679905,0.006300619882418663,down
ENSG00000004838,ZMYND10,0.25424082221634725,0.008512378781902764,-0.3531858619432102,-0.6074266841595575,0.026499531586254607,up
ENSG00000004866,ST7,0.31952824556094583,0.0013879444146209616,4.6858374740823665,4.366309228521421,0.006772944881347934,up
ENSG00000004975,DVL2,0.3110920520976621,0.006317426604508686,2.6587711839294776,2.3476791318318155,0.021080927417582017,up
ENSG00000005001,PRSS22,0.1851156409672955,0.0005430911720839851,-0.6353018116672638,-0.8204174526345593,0.003360168386789564,up
ENSG00000005007,UPF1,0.910100881734139,4.428634975796133e-05,4.922530339722721,4.012429457988582,0.0005619890192986234,up
ENSG00000005022,SLC25A5,0.5364796530323988,0.0014325842366742253,7.313852480542404,6.777372827510005,0.006947395759771185,up
ENSG00000005059,MCUB,-0.5282478517182552,0.003967247980737212,0.38071345446193217,0.9089613061801873,0.01482554700296132,down
ENSG00000005102,MEOX1,0.30186030211180537,5.352734519037834e-16,-0.6604855815808064,-0.9623458836926118,4.858409486204689e-13,up
ENSG00000005156,LIG3,0.2830978080844231,0.008273209272404894,3.2465939093864873,2.963496101302064,0.02590364538301399,up
ENSG00000005189,REXO5,0.465547966599834,0.000264369175806955,0.9671828570977753,0.5016348904979413,0.0019880255378722676,up
ENSG00000005194,CIAPIN1,0.6034271858444167,3.840923176388736e-05,3.6971198069701536,3.093692621125737,0.0005079185564038121,up
ENSG00000005206,SPPL2B,0.6506089744246828,0.011566030603494058,2.748069634516787,2.0974606600921044,0.03347547090963451,up
ENSG00000005249,PRKAR2B,-0.9429981390369453,0.0023991392793411134,1.1858613343955056,2.128859473432451,0.010168632125181216,down
ENSG00000005381,MPO,0.15834268364601367,0.018239746597512572,-0.5875517284024049,-0.7458944120484186,0.04769607029453266,up
ENSG00000005436,GCFC2,-0.7302944246229588,0.0001561648828375594,3.744449503455847,4.474743928078806,0.001359645620215931,down
ENSG00000005471,ABCB4,1.1719552858180542,5.602453419366579e-06,7.217527296657794,6.04557201083974,0.0001354212209344361,up
ENSG00000005486,RHBDD2,0.6632097359337861,1.3648687942728529e-05,4.485292956617446,3.82208322068366,0.0002445850268749763,up
ENSG00000005810,MYCBP2,0.6623951584325809,0.00018140795929261607,4.8142098730422855,4.151814714609705,0.0014982250614371518,up
ENSG00000005812,FBXL3,-0.7654048916324125,0.0020333287301839208,3.781118149207834,4.546523040840246,0.008989531524361596,down
ENSG00000005882,PDK2,0.6361738390073528,0.00212954591319154,5.101747423724313,4.46557358471696,0.009292703596674525,up
ENSG00000005884,ITGA3,0.5320696293267462,0.011298249245659676,0.9889645369847453,0.4568949076579991,0.03288393755915666,up
ENSG00000005961,ITGA2B,0.15837641197368602,0.005661016692362801,-0.7152379070607078,-0.8736143190343938,0.01940954856273337,up
ENSG00000006007,GDE1,0.28221423231805964,0.007057308605209578,4.646617048609613,4.364402816291554,0.02295490469635719,up
ENSG00000006047,YBX2,0.4563784215811646,0.009751107872914026,0.6529885455803794,0.19661012399921485,0.029389317817866235,up
ENSG00000006062,MAP3K14,0.44266311176832396,0.00028868743886032615,2.601305014927394,2.15864190315907,0.002113974617842477,up
ENSG00000006125,AP2B1,0.6303622562776257,1.4213458723409199e-05,5.456519249778258,4.826156993500632,0.00025172382068882655,up
ENSG00000006210,CX3CL1,0.5935748030049237,0.012668738134365873,3.576272021410076,2.982697218405152,0.03594492081168236,up
ENSG00000006282,SPATA20,1.2161235440006473,4.5675983206248254e-07,5.027860725793317,3.81173718179267,2.4531246246835046e-05,up
ENSG00000006327,TNFRSF12A,1.038497610425896,0.0005186881130614444,1.508143097067494,0.469645486641598,0.003249049453555694,up
ENSG00000006432,MAP3K9,0.9654912413265047,0.00040907717264737506,2.0258703849343163,1.0603791436078116,0.0027231308819463877,up
ENSG00000006468,ETV1,-0.6624999124203526,0.01683682604639437,1.7469589823920013,2.409458894812354,0.04484796819078459,down
ENSG00000006555,TTC22,0.48610640937112626,0.0036498899005609356,1.3931041441770813,0.906997734805955,0.013948726603133193,up
ENSG00000006576,PHTF2,-0.8726438769337403,0.00039230687493442513,2.037956822983444,2.9106006999171843,0.0026444659118769476,down
ENSG00000006652,IFRD1,-0.588189878969605,0.0041958924088854295,3.5786098097762244,4.166799688745829,0.01550336554009713,down
ENSG00000006712,PAF1,0.5728190524201269,1.1881000419005738e-06,4.275359552246016,3.702540499825889,4.717352950091306e-05,up
ENSG00000006715,VPS41,0.504712010473729,3.912543252468076e-05,4.428126101437957,3.9234140909642283,0.0005146839025057127,up
ENSG00000006744,ELAC2,0.8721821770142171,1.5505091349907354e-09,4.900152367260133,4.027970190245916,3.1625159918524517e-07,up
ENSG00000006747,SCIN,0.1878821941421438,1.7296983635547158e-05,-0.7427708625244193,-0.9306530566665631,0.0002875385933480655,up
ENSG00000006831,ADIPOR2,0.4942024502456981,0.0021647843244768372,6.9656974915832475,6.471495041337549,0.009419302454992336,up
ENSG00000007047,MARK4,0.5819310380553153,0.0003222835698077966,2.8230395648006805,2.241108526745365,0.0022806180286002614,up
