ensembl_id,symbol,log2fc,pvalue,mean_dis,mean_hlt,padj,direction
ENSG00000000003,TSPAN6,-0.09033049114270231,0.3208308431783031,6.132644217690327,6.222974708833029,0.4403812700352164,down
ENSG00000000005,TNMD,-0.10173104790727316,0.3875707446344635,-0.7866644125460067,-0.6849333646387336,0.507104780694062,down
ENSG00000000419,DPM1,0.17967921527204966,0.17471553401808992,3.9912473150507664,3.8115680997787167,0.2764695954932651,up
ENSG00000000457,SCYL3,0.1093130017896744,0.5558571065608653,3.4554958050156683,3.346182803225994,0.6626698663820443,up
ENSG00000000460,FIRRM,-0.22109143822934807,0.3229798945740481,1.6883225681622385,1.9094140063915865,0.44259485364253753,down
ENSG00000000938,FGR,0.1091076154049011,0.5988476667534618,2.1462240244202677,2.0371164090153666,0.6986427824277373,up
ENSG00000000971,CFH,0.43565925760430524,0.0007660651635432072,10.587498709042904,10.1518394514386,0.004316071047113545,up
ENSG00000001036,FUCA2,0.07080915475252336,0.6022852172105965,4.894718366203464,4.823909211450941,0.7012111049271393,up
ENSG00000001084,GCLC,-0.15640003054942042,0.14460619860521662,6.275514256263373,6.431914286812793,0.23883507626972045,down
ENSG00000001167,NFYA,0.2662612971067393,0.004350060905423177,3.4437740752667194,3.17751277815998,0.0159503713181055,up
ENSG00000001460,STPG1,0.3571410179367712,0.009853739375042914,0.6771278595397066,0.31998684160293533,0.02959055928455815,up
ENSG00000001461,NIPAL3,0.6684072850659957,5.31480502485773e-06,2.613913949877333,1.9455066648113373,0.0001305543377757001,up
ENSG00000001497,LAS1L,0.6108274619311658,4.12514824143946e-06,3.9878594356543524,3.3770319737231866,0.00010988165977357898,up
ENSG00000001561,ENPP4,-0.06404272858933302,0.7710411280917754,2.639333129347442,2.703375857936775,0.8357230029218221,down
ENSG00000001617,SEMA3F,0.51262826207495,0.008170841064872201,1.6611125515761838,1.1484842895012337,0.02567069537047855,up
ENSG00000001626,CFTR,0.8272709957480902,0.002649779106877588,1.8604493225824084,1.0331783268343182,0.01095704786495418,up
ENSG00000001629,ANKIB1,-0.28148336397911233,0.07898937638813228,3.654650355443387,3.9361337194224992,0.14900697802907256,down
ENSG00000001630,CYP51A1,2.137927912741593,3.9126460312686544e-16,1.4120095789019969,-0.7259183338395958,3.7382243897694675e-13,up
ENSG00000001631,KRIT1,-0.0912562223644322,0.4309155182295695,3.5201182688422223,3.6113744912066545,0.5485674033282877,down
ENSG00000002016,RAD52,-0.053671874635519146,0.7867030412738476,2.1940897126735344,2.2477615873090535,0.847890536617239,down
ENSG00000002330,BAD,0.6406846502389909,0.002796944171923485,3.545003649522717,2.904318999283726,0.01143276909545756,up
ENSG00000002549,LAP3,0.4631784988053056,0.026292582330953655,6.490785587607569,6.027607088802263,0.06348619939529153,up
ENSG00000002586,CD99,0.13336475108556467,0.07196080624708516,5.977783925796307,5.844419174710742,0.1385705437364312,up
ENSG00000002587,HS3ST1,-0.22397017846061515,0.10234211767867997,-0.4687370759459942,-0.24476689748537903,0.18273005431504646,down
ENSG00000002726,AOC1,-0.08501870527823407,0.8604379111381647,1.6839686280866848,1.7689873333649189,0.9032806731951829,down
ENSG00000002746,HECW1,0.29207779607184237,4.3568616603608384e-07,-0.616562709386396,-0.9086405054582384,2.346887528799119e-05,up
ENSG00000002822,MAD1L1,1.038470574036784,0.0019739193126936156,2.72273917533024,1.6842686012934558,0.008810562400621393,up
ENSG00000002834,LASP1,0.7405797989628873,6.950628124951126e-05,6.322973124364948,5.582393325402061,0.0007691034938670665,up
ENSG00000002919,SNX11,0.6699427027756042,0.0005927276784686936,3.307117198710796,2.637174495935192,0.003576478879422284,up
